"species"	"mu"	"CImu2"	"CImu97"	"SD"	"CISD2"	"CISD97"	"logmu"	"CIlogmu2"	"CIlogmu97"	"logSD"	"CIlogSD2"	"CIlogSD97"	"bestSD"	"maxlik"
"Eschweilera sagotiana"	31.1638791148759	-30.9819888202119	82.2824514400596	52.6511683553643	19.4385421402197	120.841306220191	-0.799181948184458	-4.15920693054732	1.61125347352595	3.54323513809371	1.56576663462985	7.03270535600505	23.5357712109098	-26.3765841294403
"Forsteronia guyanensis"	99.8513312487595	88.9747308322263	114.605299784663	12.9214430393888	4.35578446920471	32.351763422499	2.38147865213812	0.834976676216796	3.75369245187169	1.70515957983704	0.788189718094617	3.48856325401311	27.0232727520618	-277.358085422906
"Gouania blanchetiana"	124.738743914938	104.327865375880	145.074668345475	28.1347676172592	16.6197943023784	50.2825005054928	4.99324031980413	3.44693124186306	6.52048324549543	2.12854719083430	1.23054561697020	3.83213640260939	25.0424867920837	-1172.20930000788
"Guettarda acreana"	221.89727157378	207.600117049103	235.79149849814	20.7982075677159	11.7732893958838	37.4801658149313	4.82758262824057	4.24478447506552	5.45972647876072	0.893784128186373	0.535440895929553	1.55363088424882	41.7656617403673	-578.23796167945
"Hippocratea volubilis"	124.342801777745	102.424491839887	146.862285618468	28.8304320409437	14.7212599256826	55.4887636422216	2.97362469650174	0.477695119527966	5.24064759491095	3.19360368828226	1.58682429664387	6.30163369946109	36.3956751085162	-470.891219458393
"Hymenolobium pulcherrimum"	77.7410979316253	51.1739978113078	102.617378837273	32.3018791827648	17.3655054540549	61.8171535932761	2.03061324900070	-0.201633880112456	4.2813583486828	3.06818868714337	1.55519984285372	5.93015837268221	34.2897931003402	-127.955268968566
"Licania majuscula"	332.767639981944	264.488421796828	409.65974800816	54.7759328875472	12.0572511634674	133.490455540412	-1.39206997591349	-5.41314182675659	1.98335618789927	4.44098677290231	2.2346491354694	8.26410830919711	56.0551301192405	-99.9420885144565
"Licania membranacea"	-0.474234257379379	-59.190176116673	60.0304377479207	69.0584709269219	32.7132497974866	143.222970673394	1.35190659577335	-2.63507477642718	5.25982110028502	5.76497307231575	3.09958505487779	10.6788629998918	40.1948451868515	-555.815528729394
"Machaerium altiscandens"	24.0934206763066	-48.9644714190386	99.130062166599	102.901692801889	56.5071202716404	193.292556790002	1.23173900307121	-0.481361867239675	2.98602996206265	2.26878705214497	1.15814521443801	4.30633910177003	49.1486735509497	-157.514832908855
"Manilkara bidentata"	75.7310558947305	17.6395417743546	161.018534355611	63.5757669590581	19.2298421895178	156.895653826479	-1.29506363273382	-4.98507446594274	2.03072511450040	4.65320301753517	2.35812108697353	9.084404065177	43.2836444045904	-57.1486125665651
"Manilkara huberi"	142.860423516274	49.8292109572941	236.784126115729	107.405687389474	53.8357501497485	201.041006993636	-1.85976524678764	-6.38366706642035	1.99957921274021	5.43784776781954	2.66827155706967	10.9534732919679	66.0465084670709	-99.3790362576812
"Mendoncia hoffmannseggiana"	132.132809064591	119.410804121086	144.889318712321	14.3274379375277	4.50654670141958	32.0923506161049	2.93918718131846	2.27693020442909	3.60801639726226	0.813469726342242	0.394306790092518	1.62531537114813	41.5909534759343	-162.653012327778
"Micropholis guyanensis"	56.2172116739579	47.7111728887897	65.861285993481	11.7328302402572	5.88207633386791	24.9764396381434	3.93298599926303	2.46519613109646	5.40384558840046	2.08711140406083	1.19253571845705	3.81520449914987	23.8726794488990	-383.623488684663
"Mimosa guilandinae"	253.956604017956	218.591728031948	290.057328163543	49.0198774276117	28.7165511716816	88.3295068127645	4.68582270570364	4.10289808840589	5.30251082191717	0.785464469732378	0.460175420729585	1.45973558978619	82.6936888888795	-705.006598369515
"Neea floribunda"	26.8675222246535	-16.4070720154388	70.1870718930993	40.0213021625574	15.3281897653048	99.8707912247648	0.197366713103089	-2.67709892194003	2.70246928372624	3.45791899812492	1.75685086385435	6.64627274988132	14.6358703451872	-37.5527507558793
"Ocotea floribunda"	24.8613567770638	3.98293808283879	43.6897458189525	20.2171909364149	8.15371378369374	47.984065912813	2.23959658153947	-0.137448205645693	4.21988065264095	2.91731705992004	1.36629105486396	5.69839951430207	47.6578468454077	-191.408236864597
"Pourouma melinonii"	51.2591262492647	31.614965045652	67.5696714504347	14.2594566625097	2.09790569018576	44.8604061879913	1.78024908043754	-0.418345929240947	4.24439295445344	1.95794597582757	0.530538220129133	4.30993015554617	20.3092219908553	-104.320276871041
"Protium sagotianum"	92.2797542831379	62.2479710633217	124.578255623608	40.4706882585636	21.6371183785289	76.5924177962228	2.50547674288350	0.916517654010636	4.03105133055273	2.09197430409925	1.08927611400094	4.04238558609373	33.8168276083943	-237.504679965930
"Pseudopiptadenia suaveolens"	145.867394777150	119.518031532125	171.172225820086	33.2926259259828	17.1905081155049	64.1349819013255	3.14554927761545	1.66010406359802	4.69433966349468	2.13607422024303	1.14060826398798	4.14176922796057	26.2228416608583	-282.251830814354
"Qualea dinizii"	125.559719591559	32.7170956064419	218.042886510671	116.192839470186	63.7413343825478	221.211497023709	-0.941315351089412	-6.59769474785676	4.5466339776809	7.4352281568621	3.92394671680185	14.0934960288989	14.5938056845488	-137.205209621828
"Qualea rosea"	120.994944123477	40.819671241544	161.516636442590	31.1158872505955	1.81362371966358	132.720165818789	0.570794264712311	-4.14135736675655	4.63460329950464	3.03284357889119	0.583981389570457	7.60351695299	16.4167749389236	-31.9455489722425
"Quararibea duckei"	38.2716062362989	18.8273022500039	57.3050005110979	24.2540634101905	9.68749902502924	49.4971354468373	2.89551566523712	2.41908192623958	3.36454402583168	0.600235459826969	0.3124727434172	1.1542668842077	52.2820276873206	-176.185297419218
"Rhodostemonodaphne kunthiana"	326.2968735637	227.145983123165	411.45217533889	93.6921564874525	33.8665207372096	187.039147655977	-2.83906668720664	-7.49601687226742	0.931897283900923	5.06117722334815	2.28197079375075	10.0240626284898	84.4315384756648	-29.0893028821293
"Rourea frutescens"	73.2547892361854	54.4269055147494	92.1128111408892	25.0969516130423	12.6699105018493	48.9273722965066	3.0612407548781	2.37312873140646	3.67846720302243	0.88702546986092	0.457666091413753	1.70042263812931	42.0171684069869	-226.938175971226
"Serjania paucidentata"	381.132285035051	339.098795640083	416.428987670913	49.9680717659423	24.0538226571699	98.279894030123	2.21336344206886	0.808642906681829	3.45652904669859	1.75221488320218	0.866182909211897	3.5980181936412	50.7797978378302	-227.180196045468
"Sterculia pruriens"	100.434426655432	56.5270438819734	141.356274477013	46.5905899067883	20.0971001214365	97.0035625367074	0.590788990913794	-3.19255872820226	3.9921899957616	4.69380880424838	2.24077740739734	9.29111022817993	39.3767433290975	-211.951048656074
"Stigmaphyllon sinuatum"	327.366836611263	311.814475233006	343.936619560652	20.3445403286017	9.20989029004495	41.8686696984075	2.96366812426508	2.19862568665472	3.70345008988119	1.03593641979193	0.542688886444027	1.96019114320380	38.3507815580273	-171.188534860074
"Strychnos erichsonii"	180.621164517577	128.023746910064	231.818926149795	72.8120506458367	39.6551841490381	133.717060627886	3.08891236491606	2.17424215161135	4.01729772365541	1.27880515724093	0.717319642439933	2.29675579778122	58.7556964866098	-319.212004040087
"Tachigali melinonii"	196.370142557032	128.804963602117	262.547689193366	67.5193087484123	29.5178234727996	135.997967806918	-0.536040477733119	-4.08962393497056	2.8126246214023	5.29841238436916	2.87703531433343	9.74423552966468	72.1649220963422	-143.830395042096
"Terminalia guyanensis"	52.3602914294583	-5.62501880542237	111.608060600572	75.8326349909562	35.6695287187927	153.998186039006	2.23487767908577	1.02011926469194	3.38984101375683	1.65875811393456	0.82857758121605	3.16933139693818	86.1561703347723	-227.441892158601
"Tetragastris altissima"	96.3735779709183	78.9305206238403	114.761167387693	20.4954901459205	8.73153951001218	43.4693780758883	1.79860884498558	-0.284991810051629	3.57540863036674	2.51867711781848	1.23730165705620	5.20417835366062	17.5232769367633	-135.451128967429
"Tetragastris panamensis"	-60.4035601657888	-77.5435984867362	-42.5034417516642	20.7066460484784	9.37284852903054	42.0355681915855	0.884494726118275	-1.57206840661903	3.30718412130088	3.56278219503008	1.83171291974152	6.9506862438153	17.6937955543052	-134.895728280567
"Trattinnickia sp1"	119.092801944283	95.3749144450348	137.750307543900	16.5748592154918	2.41678255110684	43.9317380134706	1.73715090816362	0.302562474516952	4.02658156615161	1.31640573107051	0.477538883468682	2.95128209143192	102.861198809384	-110.761217465598
"Unonopsis stipitata"	150.979908875192	96.5357807272384	205.514785304505	62.4284843675313	27.4286281838508	124.991198872369	1.30108762749649	-0.242492734690991	2.72054467572282	1.81121349817861	0.873315369313542	3.82745900467067	70.1116395767733	-88.0410388347333
"Virola michelii"	37.6371270426143	27.2028551301099	47.1689406412499	8.79703362332535	1.90690894580278	21.36928718032	2.80714366363516	1.87230732759067	4.13990047464721	0.808642009432089	0.299991811980446	1.76555124825749	37.8163639745503	-135.572283395927
