"Taxa"	"Family"	"detected.in.Poncy.s.list"	"adult.density"	"observations"	"Life.form"	"Dispersal.syndrome"	"Type.of.fruit"	"Total.number.of.seeds"	"measured"	"ave.L"	"ave.W"	"D3"	"measure.comments"	"Smythe"
"Serjania paucidentata DC"	"Sapindaceae"	"yes"	NA	""	"Liana"	"ane"	"dry"	162	"no"	25.2	13.3	NA	""	"TypeI"
"Stenostomum acreanum (K.Krause) Achille & Delprete (= Guettarda acreana)"	"Rubiaceae"	"yes"	51	""	"Tree"	"zoo"	"fleshy"	1523	"yes"	8	5	NA	""	"TypeII"
"Sterculia pruriens (Aubl.) K. Schum."	"Malvaceae"	"yes"	147	"several species mixed"	"Tree"	"zoo"	"dry"	183	"yes"	19	14	NA	""	"TypeI"
"Stigmaphyllon sinuatum (DC.) A. Juss."	"Malpighiaceae"	"yes"	NA	""	"Liana"	"ane"	"dry"	216	"no"	45	15	NA	"Syn. S. fulgens (van Roosmalen 1985)"	"TypeI"
"Strychnos erichsonii M.R. Schomb. ex Progel"	"Loganiaceae"	"yes"	NA	""	"Liana"	"zoo"	"fleshy"	324	"yes"	18	14	NA	""	"TypeI"
"Tachigali melinonii (Harms) Zarucchi & Herend."	"Leguminosae (Caesalpinioideae)"	"yes"	7	""	"Tree"	"ane"	"dry"	255	"no"	25	12.5	NA	"Scherolobium melinonii van Roosmalen 1985"	"TypeI"
"Terminalia guyanensis Eichler"	"Combretaceae"	"yes"	15	"several species mixed"	"Tree"	"ane"	"dry"	150	"no"	60	2	NA	"Mori et al. P. 227, 2002"	"TypeI"
"Tetragastris altissima (Aubl.) Swart"	"Burseraceae"	"yes"	38	""	"Tree"	"zoo"	"fleshy"	198	"yes"	22	12	NA	""	"TypeI"
"Tetragastris panamensis (Engl.) Kuntze"	"Burseraceae"	"yes"	8	""	"Tree"	"zoo"	"fleshy"	195	"yes"	16	11	NA	""	"TypeI"
"Trattinnickia sp1"	"Burseraceae"	"yes"	12	"several species mixed"	"Tree"	"zoo"	"fleshy"	59	"no"	10.9	8.2	NA	""	"TypeII"
"Unonopsis stipitata Diels"	"Annonaceae"	"yes"	56	"several species mixed"	"Tree"	"zoo"	"fleshy"	60	"yes"	11	7	NA	""	"TypeII"
"Virola michelii Heckel"	"Myristicaceae"	"yes"	57	""	"Tree"	"zoo"	"fleshy"	118	"yes"	20.5	14.2	NA	""	"TypeI"
"Vochysia guianensis Aubl."	"Vochysiaceae"	"no"	44	"several species mixed"	"Tree"	"ane"	"dry"	752	"no"	48	12	4	"plutôt Vochysia guianensis (48 x 12 x 4 mm, van Roosmalen 1985)? (cf. Larpin dans Belbenoit et al.; Nouragues book) Q. dinizii est sur savanna forest sur cuirasse latéritique (PMF orget, au Suriname, cf Van Roosmalen 1985)"	"TypeI"
